메뉴1,메뉴2,업소아이디,name,분류코드,category,업소 주소,업소 전화번호,region,latitude,longitude,tag,cluster,cluster2
매운국물닭발: 10500원,석쇠구이닭발: 10000원,9941,119닭발 성내점,1,한식,서울특별시 강동구 양재대로 87길 81 1층,02-6494-1191,강동구,37.52643471,127.1305633,"[[친절해요], [특별한 메뉴가 있어요], [혼밥하기 좋아요], [재료가 신선해요]]",5,12
석쇠구이닭발: 10000원,매운국물닭발: 10500원,10247,119닭발 천호본점,1,한식,서울특별시 강동구 천중로 73,02-489-1289,강동구,37.54499966,127.1302146,"[[친절해요], [양이 많아요], [가성비가 좋아요], [매장이 청결해요]]",5,12
된장찌개: 5900원,김치찌개: 5900원,10130,집밥126,1,한식,서울특별시  영등포구 당산로 36길 1,,영등포구,37.52856918,126.8979838,"[[양이 많아요], [매장이 청결해요], [특별한 메뉴가 있어요], [재료가 신선해요]]",0,15
손수제비: 7000원,칼제비: 7000원,9828,345국수,1,한식,서울특별시 중구 청구로 83-9,02-2237-5257,중구,37.56017207,127.0132285,"[[가성비가 좋아요], [양이 많아요], [혼밥하기 좋아요], [친절해요]]",9,2
냉면: 6000원,삼겹살: 16000원,10098,59년똥돼지,1,한식,서울특별시  성동구 무학봉28길 3 1층,02-2298-3373,성동구,37.56246823,127.0324897,"[[양이 많아요], [혼밥하기 좋아요], [특별한 메뉴가 있어요], [친절해요]]",9,2
떡볶이: 4000원,어묵: 2500원,10307,5빠떡볶이,1,한식,서울특별시  용산구 후암로 37-1,02-3789-1489,용산구,37.54932399,126.9774088,"[[친절해요], [가성비가 좋아요], [양이 많아요], [혼밥하기 좋아요]]",27,9
비빔국수: 5000원,닭칼국수: 6000원,10179,79번지국수집,1,한식,"서울특별시  동대문구 회기로 13길 25, 1층",02-6082-9494,동대문구,37.59267888,127.0509716,"[[재료가 신선해요], [양이 많아요], [가성비가 좋아요], [혼밥하기 좋아요]]",12,7
소고기 쌀국수(S): 7000원,소고기 쌀국수(L): 8000원,10233,PHO358 (pho358),4,기타외식업,서울특별시  은평구 은평로 91,02-386-4042,은평구,37.59970874,126.917822,"[[가성비가 좋아요], [양이 많아요], [재료가 신선해요], [혼밥하기 좋아요]]",24,24
까페라떼: 2500원,아메리카노: 1800원,10393,y brew(와이브루),4,기타외식업,서울특별시  용산구 서빙고로 17 센트럴파크몰 A동 1층 76호,,용산구,37.52690561,126.9665662,"[[매장이 청결해요], [재료가 신선해요], [양이 많아요], [친절해요]]",14,13
닭곰탕: 8500원,,10126,정닭곰탕,1,한식,서울특별시 강남구 언주로30길 13,02-2187-6358,강남구,37.48812761,127.0506867,"[[양이 많아요], [친절해요], [혼밥하기 좋아요], [재료가 신선해요]]",10,1
